performance_id,employee_id,review_period,performance_rating,training_hours,promotion_flag
PERF000082,EMP00023,2023-H2,4,14,0
PERF000083,EMP00023,2024-H1,4,30,0
PERF000084,EMP00024,2024-H2,1,30,0
PERF000085,EMP00025,2023-H2,5,64,0
PERF000086,EMP00025,2024-H1,5,40,0
PERF000087,EMP00025,2024-H2,5,67,0
PERF000088,EMP00026,2023-H2,5,42,0
PERF000089,EMP00026,2024-H1,5,36,0
PERF000090,EMP00026,2024-H2,5,75,0
PERF000091,EMP00027,2023-H2,3,50,0
PERF000092,EMP00027,2024-H1,4,52,0
PERF000093,EMP00027,2024-H2,3,70,0
PERF000094,EMP00028,2022-H1,3,32,0
PERF000095,EMP00028,2022-H2,3,71,0
PERF000096,EMP00028,2023-H1,2,60,0
PERF000097,EMP00028,2023-H2,2,75,0
PERF000098,EMP00028,2024-H1,2,33,0
PERF000099,EMP00028,2024-H2,2,27,0
PERF000100,EMP00029,2022-H1,4,7,0
PERF000101,EMP00029,2022-H2,5,12,0
PERF000102,EMP00029,2023-H1,3,28,0
PERF000103,EMP00029,2023-H2,4,8,0
PERF000104,EMP00029,2024-H1,4,28,0
PERF000105,EMP00029,2024-H2,4,16,0
PERF000106,EMP00030,2024-H2,4,10,0
PERF000107,EMP00031,2022-H1,5,69,0
PERF000108,EMP00031,2022-H2,5,66,0
PERF000109,EMP00031,2023-H1,5,21,0
PERF000110,EMP00031,2023-H2,4,55,0
PERF000111,EMP00031,2024-H1,4,41,0
PERF000112,EMP00031,2024-H2,5,35,1
PERF000113,EMP00032,2024-H2,4,51,0
PERF000114,EMP00033,2023-H1,5,64,0
PERF000115,EMP00033,2023-H2,4,70,0
PERF000116,EMP00033,2024-H1,4,36,0
PERF000117,EMP00033,2024-H2,4,78,0
PERF000118,EMP00034,2023-H1,2,68,0
PERF000119,EMP00034,2023-H2,1,39,0
PERF000120,EMP00034,2024-H1,1,29,0
PERF000121,EMP00034,2024-H2,1,35,0
PERF000122,EMP00035,2022-H1,5,39,0
PERF000123,EMP00035,2022-H2,5,40,0
PERF000124,EMP00035,2023-H1,5,22,0
PERF000125,EMP00035,2023-H2,4,49,0
PERF000126,EMP00035,2024-H1,5,50,0
PERF000127,EMP00035,2024-H2,5,34,0
PERF000128,EMP00036,2022-H2,4,31,0
PERF000129,EMP00036,2023-H1,3,26,0
PERF000130,EMP00036,2023-H2,4,76,0
PERF000131,EMP00036,2024-H1,4,48,0
PERF000132,EMP00036,2024-H2,4,34,0
PERF000133,EMP00037,2023-H2,3,67,0
PERF000134,EMP00037,2024-H1,3,58,0
PERF000135,EMP00037,2024-H2,2,65,0
PERF000136,EMP00038,2022-H2,3,52,0
PERF000137,EMP00038,2023-H1,3,28,0
PERF000138,EMP00038,2023-H2,2,68,0
PERF000139,EMP00038,2024-H1,4,37,0
PERF000140,EMP00038,2024-H2,3,60,0
PERF000141,EMP00039,2023-H1,4,32,0
PERF000142,EMP00039,2023-H2,3,27,0
PERF000143,EMP00039,2024-H1,2,21,0
PERF000144,EMP00039,2024-H2,3,37,0
PERF000145,EMP00040,2023-H2,5,20,1
PERF000146,EMP00040,2024-H1,4,31,0
PERF000147,EMP00040,2024-H2,5,64,1
PERF000148,EMP00041,2024-H1,2,10,0
PERF000149,EMP00041,2024-H2,2,25,0
PERF000150,EMP00042,2022-H2,5,24,0
PERF000151,EMP00042,2023-H1,5,49,0
PERF000152,EMP00042,2023-H2,5,67,1
PERF000153,EMP00042,2024-H1,5,57,0
PERF000154,EMP00042,2024-H2,5,51,0
PERF000155,EMP00043,2023-H1,4,29,0
PERF000156,EMP00043,2023-H2,2,28,0
PERF000157,EMP00043,2024-H1,3,40,0
PERF000158,EMP00043,2024-H2,2,67,0
PERF000159,EMP00044,2023-H1,3,61,0
PERF000160,EMP00044,2023-H2,3,33,0
PERF000161,EMP00044,2024-H1,3,38,0
PERF000162,EMP00044,2024-H2,4,44,1
PERF000163,EMP00045,2024-H1,4,28,0
PERF000164,EMP00045,2024-H2,4,73,0
PERF000165,EMP00046,2024-H2,2,50,0
PERF000166,EMP00047,2023-H1,4,32,0
PERF000167,EMP00047,2023-H2,3,55,0
PERF000168,EMP00047,2024-H1,3,29,0
PERF000169,EMP00047,2024-H2,3,78,0
PERF000170,EMP00048,2023-H2,5,69,0
PERF000171,EMP00048,2024-H1,5,42,0
PERF000172,EMP00048,2024-H2,5,41,0
PERF000173,EMP00049,2022-H2,3,27,0
PERF000174,EMP00049,2023-H1,4,24,0
PERF000175,EMP00049,2023-H2,3,17,0
PERF000176,EMP00050,2023-H2,1,14,0
PERF000177,EMP00050,2024-H1,2,10,0
PERF000178,EMP00050,2024-H2,2,28,0
PERF000179,EMP00051,2024-H1,3,55,0
PERF000180,EMP00051,2024-H2,2,75,0
PERF000181,EMP00052,2023-H2,4,42,0
PERF000182,EMP00052,2024-H1,3,60,0
PERF000183,EMP00052,2024-H2,4,53,0
PERF000184,EMP00053,2023-H2,3,46,0
PERF000185,EMP00053,2024-H1,3,30,0
PERF000186,EMP00053,2024-H2,4,46,0
PERF000187,EMP00054,2022-H2,4,37,0
PERF000188,EMP00054,2023-H1,4,53,0
PERF000189,EMP00054,2023-H2,4,26,0
PERF000190,EMP00054,2024-H1,5,51,0
PERF000191,EMP00054,2024-H2,4,80,0
PERF000192,EMP00055,2023-H2,5,57,0
PERF000193,EMP00055,2024-H1,4,42,0
PERF000194,EMP00055,2024-H2,5,38,0
PERF000195,EMP00056,2022-H2,4,78,0
PERF000196,EMP00056,2023-H1,4,80,0
PERF000197,EMP00056,2023-H2,4,54,1
PERF000198,EMP00056,2024-H1,3,69,0
PERF000199,EMP00056,2024-H2,4,32,0
PERF000200,EMP00057,2023-H1,4,30,0
PERF000201,EMP00057,2023-H2,3,25,0
PERF000202,EMP00057,2024-H1,2,63,0
PERF000203,EMP00057,2024-H2,3,29,0
PERF000204,EMP00058,2024-H2,3,34,0
PERF000205,EMP00059,2024-H1,4,44,0
PERF000206,EMP00059,2024-H2,3,41,0
PERF000207,EMP00060,2023-H1,3,55,0
PERF000208,EMP00060,2023-H2,4,74,0
PERF000209,EMP00060,2024-H1,4,61,0
PERF000210,EMP00060,2024-H2,5,35,0
PERF000211,EMP00061,2024-H2,4,70,0
PERF000212,EMP00062,2024-H2,3,74,0
PERF000213,EMP00063,2024-H2,5,64,0
PERF000214,EMP00064,2023-H2,4,47,0
PERF000215,EMP00064,2024-H1,5,44,0
PERF000216,EMP00064,2024-H2,4,66,0
PERF000217,EMP00065,2024-H1,5,39,0
PERF000218,EMP00065,2024-H2,5,35,0
PERF000219,EMP00066,2022-H1,2,64,0
PERF000220,EMP00066,2022-H2,2,63,0
PERF000221,EMP00066,2023-H1,3,55,0
PERF000222,EMP00066,2023-H2,1,43,0
PERF000223,EMP00066,2024-H1,2,76,0
PERF000224,EMP00066,2024-H2,2,27,0
PERF000225,EMP00067,2024-H1,4,75,0
PERF000226,EMP00067,2024-H2,4,76,0
PERF000227,EMP00068,2024-H1,4,44,0
PERF000228,EMP00068,2024-H2,4,75,0
PERF000229,EMP00069,2022-H1,1,22,0
PERF000230,EMP00069,2022-H2,2,15,0
PERF000231,EMP00070,2023-H2,3,24,0
PERF000232,EMP00070,2024-H1,4,29,0
PERF000233,EMP00070,2024-H2,3,43,0
PERF000234,EMP00071,2024-H1,3,68,0
PERF000235,EMP00071,2024-H2,2,76,0
PERF000236,EMP00072,2023-H2,3,50,0
PERF000237,EMP00072,2024-H1,4,37,0
PERF000238,EMP00072,2024-H2,3,46,0
PERF000239,EMP00073,2023-H1,3,33,0
PERF000240,EMP00073,2023-H2,3,32,0
PERF000241,EMP00073,2024-H1,3,78,0
PERF000242,EMP00073,2024-H2,4,60,0
PERF000243,EMP00074,2023-H1,5,56,0
PERF000244,EMP00074,2023-H2,5,60,0
PERF000245,EMP00074,2024-H1,5,57,0
PERF000246,EMP00074,2024-H2,4,39,0
PERF000247,EMP00075,2022-H2,4,26,0
PERF000248,EMP00075,2023-H1,3,59,0
PERF000249,EMP00075,2023-H2,3,60,0
PERF000250,EMP00075,2024-H1,3,34,0
PERF000251,EMP00075,2024-H2,3,20,0
PERF000252,EMP00076,2023-H1,5,79,0
PERF000253,EMP00076,2023-H2,4,76,0
PERF000254,EMP00076,2024-H1,4,57,0
PERF000255,EMP00076,2024-H2,5,31,0
PERF000256,EMP00077,2023-H2,4,79,0
PERF000257,EMP00077,2024-H1,5,33,0
PERF000258,EMP00077,2024-H2,4,32,0
PERF000259,EMP00078,2022-H1,3,57,0
PERF000260,EMP00078,2022-H2,4,46,0
PERF000261,EMP00078,2023-H1,4,38,0
PERF000262,EMP00078,2023-H2,4,50,0
PERF000263,EMP00078,2024-H1,4,23,0
PERF000264,EMP00078,2024-H2,4,39,0
PERF000265,EMP00079,2024-H1,4,51,0
PERF000266,EMP00079,2024-H2,4,52,0
PERF000267,EMP00080,2024-H2,3,12,0
PERF000268,EMP00081,2022-H1,3,28,0
PERF000269,EMP00081,2022-H2,3,25,0
PERF000270,EMP00081,2023-H1,2,17,0
PERF000271,EMP00081,2023-H2,1,16,0
PERF000272,EMP00082,2024-H2,2,33,0
PERF000273,EMP00083,2023-H2,4,22,0
PERF000274,EMP00083,2024-H1,4,35,0
PERF000275,EMP00083,2024-H2,4,38,0
PERF000276,EMP00084,2023-H1,5,45,0
PERF000277,EMP00084,2023-H2,5,80,0
PERF000278,EMP00084,2024-H1,4,48,0
PERF000279,EMP00084,2024-H2,5,38,0
PERF000280,EMP00085,2023-H1,3,28,0
PERF000281,EMP00085,2023-H2,2,27,0
PERF000282,EMP00085,2024-H1,1,7,0
PERF000283,EMP00085,2024-H2,3,29,0
PERF000284,EMP00086,2023-H2,5,49,0
PERF000285,EMP00086,2024-H1,4,53,0
PERF000286,EMP00086,2024-H2,5,40,0
PERF000287,EMP00087,2023-H2,3,17,0
PERF000288,EMP00087,2024-H1,3,5,0
PERF000289,EMP00087,2024-H2,2,20,0
PERF000290,EMP00088,2023-H2,5,60,0
PERF000291,EMP00088,2024-H1,4,80,0
PERF000292,EMP00088,2024-H2,4,67,0
PERF000293,EMP00089,2022-H1,5,36,0
PERF000294,EMP00089,2022-H2,4,79,0
PERF000295,EMP00089,2023-H1,4,37,0
PERF000296,EMP00089,2023-H2,3,68,0
PERF000297,EMP00089,2024-H1,4,25,0
PERF000298,EMP00089,2024-H2,4,58,0
PERF000299,EMP00090,2024-H2,3,37,0
PERF000300,EMP00091,2022-H1,5,37,0
PERF000301,EMP00091,2022-H2,5,67,0
PERF000302,EMP00091,2023-H1,5,26,0
PERF000303,EMP00091,2023-H2,5,29,1
PERF000304,EMP00091,2024-H1,4,67,0
PERF000305,EMP00091,2024-H2,4,68,0
PERF000306,EMP00092,2022-H1,3,40,0
PERF000307,EMP00092,2022-H2,4,54,0
PERF000308,EMP00092,2023-H1,4,67,0
PERF000309,EMP00092,2023-H2,4,74,0
PERF000310,EMP00092,2024-H1,3,60,0
PERF000311,EMP00092,2024-H2,3,65,0
PERF000312,EMP00093,2024-H1,3,35,0
PERF000313,EMP00093,2024-H2,1,73,0
PERF000314,EMP00094,2022-H1,1,76,0
PERF000315,EMP00094,2022-H2,1,62,0
PERF000316,EMP00094,2023-H1,1,36,0
PERF000317,EMP00094,2023-H2,1,24,0
PERF000318,EMP00094,2024-H1,2,47,0
PERF000319,EMP00094,2024-H2,1,35,0
PERF000320,EMP00095,2022-H1,5,28,0
PERF000321,EMP00095,2022-H2,4,9,0
PERF000322,EMP00095,2023-H1,5,11,0
PERF000323,EMP00095,2023-H2,5,25,0
PERF000324,EMP00095,2024-H1,5,13,0
PERF000325,EMP00095,2024-H2,5,16,0
PERF000326,EMP00096,2023-H1,4,26,0
PERF000327,EMP00096,2023-H2,3,51,0
PERF000328,EMP00096,2024-H1,2,28,0
PERF000329,EMP00096,2024-H2,2,37,0
PERF000330,EMP00097,2023-H1,2,42,0
PERF000331,EMP00097,2023-H2,2,54,0
PERF000332,EMP00097,2024-H1,3,32,0
PERF000333,EMP00097,2024-H2,2,75,0
PERF000334,EMP00098,2022-H1,4,77,0
PERF000335,EMP00098,2022-H2,5,30,0
PERF000336,EMP00098,2023-H1,5,58,0
PERF000337,EMP00098,2023-H2,3,27,0
PERF000338,EMP00098,2024-H1,3,34,0
PERF000339,EMP00098,2024-H2,4,71,0
PERF000340,EMP00099,2024-H2,2,66,0
PERF000341,EMP00100,2022-H1,2,58,0
PERF000342,EMP00100,2022-H2,2,46,0
PERF000343,EMP00100,2023-H1,3,45,0
PERF000344,EMP00100,2023-H2,3,63,0
PERF000345,EMP00100,2024-H1,3,74,0
PERF000346,EMP00100,2024-H2,2,44,0
PERF000347,EMP00101,2022-H1,5,43,0
PERF000348,EMP00101,2022-H2,4,64,0
PERF000349,EMP00101,2023-H1,5,52,0
PERF000350,EMP00101,2023-H2,5,59,0
PERF000351,EMP00101,2024-H1,5,62,0
PERF000352,EMP00101,2024-H2,4,36,0
PERF000353,EMP00102,2024-H1,4,9,0
PERF000354,EMP00102,2024-H2,3,17,0
PERF000355,EMP00103,2024-H1,4,50,0
PERF000356,EMP00103,2024-H2,4,63,0
PERF000357,EMP00104,2024-H2,5,61,1
PERF000358,EMP00105,2023-H1,2,48,0
PERF000359,EMP00105,2023-H2,1,76,0
PERF000360,EMP00105,2024-H1,1,26,0
PERF000361,EMP00105,2024-H2,2,26,0
PERF000362,EMP00106,2024-H2,3,25,0
PERF000363,EMP00107,2022-H1,3,26,0
PERF000364,EMP00107,2022-H2,3,25,0
PERF000365,EMP00107,2023-H1,3,58,0
PERF000366,EMP00107,2023-H2,1,32,0
PERF000367,EMP00107,2024-H1,1,21,0
PERF000368,EMP00107,2024-H2,2,41,0
PERF000369,EMP00108,2023-H1,5,9,0
PERF000370,EMP00108,2023-H2,4,26,0
PERF000371,EMP00109,2022-H2,4,30,0
PERF000372,EMP00109,2023-H1,5,36,0
PERF000373,EMP00109,2023-H2,4,20,0
PERF000374,EMP00109,2024-H1,4,54,0
PERF000375,EMP00109,2024-H2,4,31,0
PERF000376,EMP00110,2023-H2,2,70,0
PERF000377,EMP00110,2024-H1,3,62,0
PERF000378,EMP00110,2024-H2,1,71,0
PERF000379,EMP00111,2024-H2,3,66,0
PERF000380,EMP00112,2024-H2,5,59,0
PERF000381,EMP00113,2024-H2,3,79,0
PERF000382,EMP00114,2023-H2,5,66,0
PERF000383,EMP00114,2024-H1,5,44,0
PERF000384,EMP00114,2024-H2,5,41,0
PERF000385,EMP00115,2024-H2,2,26,0
PERF000386,EMP00116,2022-H2,5,51,0
PERF000387,EMP00116,2023-H1,4,63,0
PERF000388,EMP00116,2023-H2,4,24,0
PERF000389,EMP00116,2024-H1,3,35,0
PERF000390,EMP00116,2024-H2,4,66,0
PERF000391,EMP00117,2022-H2,2,7,0
PERF000392,EMP00117,2023-H1,2,14,0
PERF000393,EMP00118,2024-H1,4,57,0
PERF000394,EMP00118,2024-H2,4,43,0
PERF000395,EMP00119,2024-H2,4,28,0
PERF000396,EMP00120,2024-H1,4,44,0
PERF000397,EMP00120,2024-H2,5,55,1
PERF000398,EMP00121,2022-H1,5,46,0
PERF000399,EMP00121,2022-H2,4,74,0
PERF000400,EMP00121,2023-H1,5,29,0
PERF000401,EMP00121,2023-H2,5,77,1
PERF000402,EMP00121,2024-H1,4,67,0
PERF000403,EMP00121,2024-H2,5,78,0
PERF000404,EMP00122,2023-H1,2,39,0
PERF000405,EMP00122,2023-H2,1,73,0
PERF000406,EMP00122,2024-H1,1,21,0
PERF000407,EMP00122,2024-H2,1,58,0
PERF000408,EMP00123,2022-H2,5,58,0
PERF000409,EMP00123,2023-H1,4,43,0
PERF000410,EMP00123,2023-H2,5,62,0
PERF000411,EMP00123,2024-H1,4,40,0
PERF000412,EMP00123,2024-H2,5,65,0
PERF000413,EMP00124,2024-H2,4,29,0
PERF000414,EMP00125,2024-H1,4,66,0
PERF000415,EMP00125,2024-H2,5,67,0
PERF000416,EMP00126,2024-H1,3,21,0
PERF000417,EMP00126,2024-H2,3,39,0
PERF000418,EMP00127,2022-H1,3,56,0
PERF000419,EMP00127,2022-H2,2,22,0
PERF000420,EMP00127,2023-H1,3,72,0
PERF000421,EMP00127,2023-H2,3,23,0
PERF000422,EMP00127,2024-H1,2,49,0
PERF000423,EMP00127,2024-H2,2,62,0
PERF000424,EMP00128,2023-H1,1,46,0
PERF000425,EMP00128,2023-H2,3,21,0
PERF000426,EMP00128,2024-H1,2,54,0
PERF000427,EMP00128,2024-H2,2,44,0
PERF000428,EMP00129,2022-H1,5,62,0
PERF000429,EMP00129,2022-H2,5,70,1
PERF000430,EMP00129,2023-H1,5,33,0
PERF000431,EMP00129,2023-H2,5,66,0
PERF000432,EMP00129,2024-H1,5,26,0
PERF000433,EMP00129,2024-H2,5,65,0
PERF000434,EMP00130,2022-H2,3,59,0
PERF000435,EMP00130,2023-H1,2,78,0
PERF000436,EMP00130,2023-H2,3,51,0
PERF000437,EMP00130,2024-H1,3,33,0
PERF000438,EMP00130,2024-H2,3,50,0
PERF000439,EMP00131,2024-H2,3,20,0
PERF000440,EMP00132,2023-H1,5,52,0
PERF000441,EMP00132,2023-H2,4,22,0
PERF000442,EMP00132,2024-H1,5,74,0
PERF000443,EMP00132,2024-H2,5,31,0
PERF000444,EMP00133,2022-H2,5,78,0
PERF000445,EMP00133,2023-H1,5,55,0
PERF000446,EMP00133,2023-H2,4,40,1
PERF000447,EMP00133,2024-H1,5,78,0
PERF000448,EMP00133,2024-H2,4,66,1
PERF000449,EMP00134,2024-H1,5,42,0
PERF000450,EMP00134,2024-H2,4,77,0
PERF000451,EMP00135,2023-H1,4,29,0
PERF000452,EMP00135,2023-H2,5,48,0
PERF000453,EMP00135,2024-H1,5,77,0
PERF000454,EMP00135,2024-H2,5,37,0
PERF000455,EMP00136,2022-H1,3,43,0
PERF000456,EMP00136,2022-H2,5,43,0
PERF000457,EMP00136,2023-H1,4,40,0
PERF000458,EMP00136,2023-H2,4,61,1
PERF000459,EMP00136,2024-H1,4,49,0
PERF000460,EMP00136,2024-H2,4,33,1
PERF000461,EMP00137,2024-H1,1,29,0
PERF000462,EMP00137,2024-H2,2,47,0
PERF000463,EMP00138,2024-H1,3,10,0
PERF000464,EMP00138,2024-H2,4,18,0
PERF000465,EMP00139,2024-H1,3,48,0
PERF000466,EMP00139,2024-H2,4,25,0
PERF000467,EMP00140,2023-H1,5,25,0
PERF000468,EMP00140,2023-H2,5,70,0
PERF000469,EMP00140,2024-H1,4,25,0
PERF000470,EMP00140,2024-H2,4,72,0
PERF000471,EMP00141,2023-H2,5,50,0
PERF000472,EMP00141,2024-H1,4,26,0
PERF000473,EMP00141,2024-H2,5,55,0
PERF000474,EMP00142,2023-H1,1,29,0
PERF000475,EMP00142,2023-H2,2,27,0
PERF000476,EMP00142,2024-H1,2,26,0
PERF000477,EMP00143,2022-H2,3,45,0
PERF000478,EMP00143,2023-H1,4,70,0
PERF000479,EMP00143,2023-H2,3,75,0
PERF000480,EMP00143,2024-H1,3,23,0
PERF000481,EMP00143,2024-H2,3,51,0
PERF000482,EMP00144,2024-H1,2,42,0
PERF000483,EMP00144,2024-H2,2,70,0
PERF000484,EMP00145,2024-H1,5,40,0
PERF000485,EMP00145,2024-H2,5,47,0
PERF000486,EMP00146,2023-H1,5,21,0
PERF000487,EMP00146,2023-H2,5,25,0
PERF000488,EMP00146,2024-H1,5,66,0
PERF000489,EMP00146,2024-H2,5,32,0
PERF000490,EMP00147,2024-H1,5,63,0
PERF000491,EMP00147,2024-H2,5,25,0
PERF000492,EMP00148,2022-H2,3,8,0
PERF000493,EMP00148,2023-H1,4,30,0
PERF000494,EMP00148,2023-H2,3,9,0
PERF000495,EMP00148,2024-H1,3,20,0
PERF000496,EMP00148,2024-H2,3,10,0
PERF000497,EMP00149,2024-H2,4,51,1
PERF000498,EMP00150,2023-H1,3,12,0
PERF000499,EMP00150,2023-H2,2,20,0
PERF000500,EMP00151,2022-H2,2,29,0
PERF000501,EMP00151,2023-H1,3,19,0
PERF000502,EMP00151,2023-H2,2,20,0
PERF000503,EMP00152,2024-H2,5,54,0
PERF000504,EMP00153,2024-H1,2,26,0
PERF000505,EMP00154,2024-H1,4,65,0
PERF000506,EMP00154,2024-H2,2,60,0
PERF000507,EMP00155,2023-H2,4,26,0
PERF000508,EMP00155,2024-H1,5,58,0
PERF000509,EMP00155,2024-H2,5,59,0
PERF000510,EMP00156,2023-H2,4,37,0
PERF000511,EMP00156,2024-H1,4,32,0
PERF000512,EMP00156,2024-H2,5,58,0
PERF000513,EMP00157,2022-H1,4,70,0
PERF000514,EMP00157,2022-H2,3,41,0
PERF000515,EMP00157,2023-H1,4,34,0
PERF000516,EMP00157,2023-H2,4,53,1
PERF000517,EMP00157,2024-H1,4,23,0
PERF000518,EMP00157,2024-H2,5,65,0
PERF000519,EMP00158,2023-H1,4,24,0
PERF000520,EMP00158,2023-H2,3,46,0
PERF000521,EMP00158,2024-H1,3,61,0
PERF000522,EMP00158,2024-H2,5,51,0
PERF000523,EMP00159,2024-H2,1,56,0
PERF000524,EMP00160,2023-H2,3,53,0
PERF000525,EMP00160,2024-H1,2,56,0
PERF000526,EMP00160,2024-H2,3,51,0
PERF000527,EMP00161,2023-H2,3,12,0
PERF000528,EMP00161,2024-H1,3,25,0
PERF000529,EMP00161,2024-H2,3,8,0
PERF000530,EMP00162,2024-H2,5,71,0
PERF000531,EMP00163,2023-H2,2,32,0
PERF000532,EMP00163,2024-H1,2,57,0
PERF000533,EMP00163,2024-H2,3,30,0
PERF000534,EMP00164,2023-H1,2,8,0
PERF000535,EMP00165,2022-H2,3,62,0
PERF000536,EMP00165,2023-H1,3,59,0
PERF000537,EMP00165,2023-H2,3,64,0
PERF000538,EMP00165,2024-H1,3,21,0
PERF000539,EMP00165,2024-H2,3,71,0
PERF000540,EMP00166,2022-H1,3,28,0
PERF000541,EMP00166,2022-H2,4,19,1
PERF000542,EMP00167,2024-H1,3,33,0
PERF000543,EMP00167,2024-H2,4,55,0
PERF000544,EMP00168,2024-H1,1,8,0
PERF000545,EMP00168,2024-H2,1,7,0
PERF000546,EMP00169,2024-H1,4,47,0
PERF000547,EMP00169,2024-H2,3,53,0
PERF000548,EMP00170,2022-H2,2,15,0
PERF000549,EMP00170,2023-H1,2,19,0
PERF000550,EMP00170,2023-H2,2,20,0
PERF000551,EMP00171,2023-H1,4,41,0
PERF000552,EMP00171,2023-H2,4,79,0
PERF000553,EMP00171,2024-H1,5,36,0
PERF000554,EMP00171,2024-H2,3,59,0
PERF000555,EMP00172,2024-H2,1,58,0
PERF000556,EMP00173,2023-H2,4,56,0
PERF000557,EMP00173,2024-H1,4,52,0
PERF000558,EMP00173,2024-H2,4,75,0
PERF000559,EMP00174,2023-H2,4,55,0
PERF000560,EMP00174,2024-H1,2,21,0
PERF000561,EMP00174,2024-H2,4,25,0
PERF000562,EMP00175,2022-H1,3,46,0
PERF000563,EMP00175,2022-H2,3,65,0
PERF000564,EMP00175,2023-H1,4,35,0
PERF000565,EMP00175,2023-H2,3,41,0
PERF000566,EMP00175,2024-H1,4,32,0
PERF000567,EMP00175,2024-H2,3,35,0
PERF000568,EMP00176,2023-H1,5,47,0
PERF000569,EMP00176,2023-H2,4,70,0
PERF000570,EMP00176,2024-H1,4,26,0
PERF000571,EMP00176,2024-H2,3,39,0
PERF000572,EMP00177,2023-H2,4,71,0
PERF000573,EMP00177,2024-H1,4,60,0
PERF000574,EMP00177,2024-H2,4,54,0
PERF000575,EMP00178,2024-H2,4,43,0
PERF000576,EMP00179,2022-H1,3,78,0
PERF000577,EMP00179,2022-H2,4,26,0
PERF000578,EMP00179,2023-H1,4,21,0
PERF000579,EMP00179,2023-H2,4,72,0
PERF000580,EMP00179,2024-H1,4,42,0
