attrition_id,employee_id,exit_date,attrition_reason,tenure_months,exit_interview_score
ATT00167,EMP00637,2023-08-05,Manager Issues,7,4.4
ATT00168,EMP00638,2024-11-02,Work-Life Balance,13,3.3
ATT00169,EMP00639,2023-07-11,Work-Life Balance,4,7
ATT00170,EMP00642,2023-12-22,Personal Reasons,5,4
ATT00171,EMP00645,2024-08-04,Better Salary,11,6.4
ATT00172,EMP00657,2024-03-17,Career Growth,25,4.7
ATT00173,EMP00658,2023-07-02,Health Reasons,8,3.2
ATT00174,EMP00660,2023-02-17,Relocation,13,8.2
ATT00175,EMP00667,2024-12-07,Career Growth,13,2.3
ATT00176,EMP00675,2023-06-27,Better Salary,4,5.6
ATT00177,EMP00680,2023-12-26,Career Growth,14,5
ATT00178,EMP00683,2024-11-29,Relocation,5,2.1
ATT00179,EMP00684,2024-06-01,Work-Life Balance,3,4.5
ATT00180,EMP00685,2023-10-30,Health Reasons,10,5.4
ATT00181,EMP00689,2024-10-31,Work-Life Balance,20,6.5
ATT00182,EMP00692,2024-09-27,Personal Reasons,9,5.6
ATT00183,EMP00697,2022-11-05,Manager Issues,10,5.8
ATT00184,EMP00699,2024-02-12,Career Growth,6,7.1
ATT00185,EMP00700,2023-06-18,Work-Life Balance,10,8.2
ATT00186,EMP00706,2024-01-30,Higher Education,4,2.1
ATT00187,EMP00712,2024-09-16,Better Salary,12,8.3
ATT00188,EMP00713,2024-10-20,Career Growth,26,2.2
ATT00189,EMP00714,2024-08-10,Better Salary,8,6.5
ATT00190,EMP00722,2024-02-19,Work-Life Balance,17,4.7
ATT00191,EMP00723,2023-11-22,Work-Life Balance,18,3.1
ATT00192,EMP00725,2024-12-08,Health Reasons,6,6.4
ATT00193,EMP00735,2024-07-23,Career Growth,5,2.2
ATT00194,EMP00737,2024-12-09,Health Reasons,7,4.1
ATT00195,EMP00740,2024-12-28,Work-Life Balance,3,7.4
ATT00196,EMP00745,2024-10-28,Better Salary,14,2.2
ATT00197,EMP00749,2024-11-28,Better Salary,7,7.4
ATT00198,EMP00750,2024-08-01,Work-Life Balance,8,2.5
ATT00199,EMP00751,2024-12-25,Work-Life Balance,4,3.1
ATT00200,EMP00758,2023-10-09,Better Salary,20,4.3
ATT00201,EMP00760,2024-10-02,Health Reasons,21,2.9
ATT00202,EMP00761,2024-10-09,Career Growth,12,4.5
ATT00203,EMP00763,2024-11-10,Better Salary,22,6.7
ATT00204,EMP00765,2023-03-22,Work-Life Balance,13,6.3
ATT00205,EMP00768,2024-10-22,Work-Life Balance,10,4.9
ATT00206,EMP00770,2024-11-20,Manager Issues,9,4.3
ATT00207,EMP00775,2024-11-28,Higher Education,32,3.1
ATT00208,EMP00777,2024-04-11,Career Growth,12,6.1
ATT00209,EMP00783,2023-05-18,Health Reasons,5,6.8
ATT00210,EMP00784,2024-01-31,Higher Education,5,4.3
ATT00211,EMP00792,2024-11-03,Better Salary,3,8.4
ATT00212,EMP00801,2024-11-22,Career Growth,4,2
ATT00213,EMP00803,2023-10-17,Relocation,3,7.4
ATT00214,EMP00806,2024-03-22,Work-Life Balance,13,3.7
ATT00215,EMP00819,2023-03-16,Better Salary,6,5.2
ATT00216,EMP00822,2024-10-27,Relocation,26,3.9
ATT00217,EMP00825,2024-08-25,Manager Issues,5,6.7
ATT00218,EMP00830,2024-11-26,Better Salary,10,6.7
ATT00219,EMP00831,2024-01-28,Relocation,16,7
ATT00220,EMP00836,2024-08-03,Career Growth,14,7.6
ATT00221,EMP00837,2023-08-02,Manager Issues,8,6.7
ATT00222,EMP00838,2024-11-15,Relocation,16,2.3
ATT00223,EMP00839,2023-01-25,Career Growth,8,3.6
ATT00224,EMP00847,2024-12-31,Health Reasons,3,5.9
ATT00225,EMP00856,2024-07-02,Relocation,4,6.7
ATT00226,EMP00859,2024-07-08,Better Salary,3,4.7
ATT00227,EMP00861,2024-07-22,Work-Life Balance,12,2.2
ATT00228,EMP00874,2023-08-23,Better Salary,12,3.6
ATT00229,EMP00881,2024-03-19,Personal Reasons,3,8
ATT00230,EMP00891,2024-10-11,Manager Issues,6,6.3
ATT00231,EMP00893,2023-01-12,Manager Issues,6,2.6
ATT00232,EMP00896,2023-01-23,Better Salary,5,2.7
ATT00233,EMP00901,2024-07-30,Better Salary,4,5.2
ATT00234,EMP00905,2023-10-30,Work-Life Balance,5,2.7
ATT00235,EMP00911,2024-12-23,Career Growth,23,4.7
ATT00236,EMP00915,2024-02-16,Career Growth,8,4.5
ATT00237,EMP00917,2024-12-15,Higher Education,11,8
ATT00238,EMP00918,2024-09-05,Relocation,9,2.6
ATT00239,EMP00919,2022-12-17,Personal Reasons,4,8.4
ATT00240,EMP00927,2024-03-28,Work-Life Balance,19,5.3
ATT00241,EMP00929,2024-08-18,Career Growth,29,5.8
ATT00242,EMP00934,2024-12-29,Better Salary,3,2.7
ATT00243,EMP00940,2023-05-29,Personal Reasons,11,4.5
ATT00244,EMP00942,2024-10-27,Better Salary,4,8.1
ATT00245,EMP00943,2024-11-08,Manager Issues,17,2.8
ATT00246,EMP00947,2024-11-19,Career Growth,22,7.9
ATT00247,EMP00949,2024-07-09,Relocation,4,7.9
ATT00248,EMP00953,2024-12-29,Career Growth,35,5.7
ATT00249,EMP00965,2024-12-26,Relocation,4,4.6
ATT00250,EMP00970,2022-09-07,Relocation,4,6.1
ATT00251,EMP00975,2023-11-17,Career Growth,12,2.5
ATT00252,EMP00976,2024-01-11,Personal Reasons,4,4.5
ATT00253,EMP00978,2024-06-02,Better Salary,29,4.7
ATT00254,EMP00979,2024-11-28,Career Growth,16,5.6
ATT00255,EMP00985,2024-10-24,Work-Life Balance,26,5.9
ATT00256,EMP00987,2024-06-15,Career Growth,20,3.9
ATT00257,EMP00995,2024-11-08,Higher Education,20,8.4
ATT00258,EMP00998,2023-11-16,Career Growth,10,2.4
ATT00259,EMP00999,2024-05-09,Career Growth,6,4.6
ATT00260,EMP01001,2024-07-02,Relocation,14,7.3
ATT00261,EMP01002,2024-12-28,Better Salary,5,3.1
ATT00262,EMP01005,2024-10-25,Career Growth,3,2.2
ATT00263,EMP01011,2024-02-24,Personal Reasons,4,3.7
ATT00264,EMP01013,2022-10-10,Manager Issues,4,3.1
ATT00265,EMP01021,2024-08-19,Work-Life Balance,4,5.1
ATT00266,EMP01027,2024-03-01,Better Salary,10,4.4
ATT00267,EMP01030,2023-07-02,Better Salary,15,2.9
ATT00268,EMP01031,2022-09-01,Health Reasons,7,4.9
ATT00269,EMP01037,2023-01-23,Relocation,9,3.8
ATT00270,EMP01042,2024-06-11,Relocation,5,6.2
ATT00271,EMP01043,2024-10-21,Better Salary,9,4.2
ATT00272,EMP01044,2023-08-10,Health Reasons,8,2.1
ATT00273,EMP01051,2024-10-18,Health Reasons,7,7.6
ATT00274,EMP01052,2024-12-22,Work-Life Balance,3,4.1
ATT00275,EMP01053,2024-04-08,Work-Life Balance,14,5.4
ATT00276,EMP01055,2024-08-07,Career Growth,8,8.4
ATT00277,EMP01056,2024-11-15,Career Growth,3,7.3
ATT00278,EMP01067,2024-11-09,Better Salary,12,3.8
ATT00279,EMP01070,2024-07-03,Personal Reasons,4,6.3
ATT00280,EMP01072,2023-12-30,Career Growth,15,7.5
ATT00281,EMP01074,2024-12-23,Personal Reasons,5,7.1
ATT00282,EMP01079,2024-04-15,Career Growth,8,4.4
ATT00283,EMP01081,2023-10-16,Higher Education,8,2.6
ATT00284,EMP01082,2024-09-28,Work-Life Balance,6,7.7
ATT00285,EMP01083,2024-12-21,Work-Life Balance,4,3.1
ATT00286,EMP01093,2024-11-11,Personal Reasons,3,5.6
ATT00287,EMP01094,2023-09-06,Health Reasons,5,2.1
ATT00288,EMP01095,2023-02-17,Manager Issues,7,4
ATT00289,EMP01096,2024-01-24,Better Salary,3,4.3
ATT00290,EMP01097,2024-01-26,Manager Issues,9,5.2
ATT00291,EMP01101,2024-03-25,Work-Life Balance,7,3.1
ATT00292,EMP01109,2024-02-27,Higher Education,6,8.2
ATT00293,EMP01116,2024-12-14,Better Salary,5,4.7
ATT00294,EMP01119,2024-09-06,Relocation,5,3.7
ATT00295,EMP01126,2022-05-13,Work-Life Balance,4,6.2
ATT00296,EMP01135,2024-05-28,Relocation,13,3.1
ATT00297,EMP01136,2024-03-12,Career Growth,24,4.9
ATT00298,EMP01138,2024-07-11,Better Salary,8,5.3
ATT00299,EMP01140,2024-05-08,Better Salary,5,5.9
ATT00300,EMP01144,2023-12-16,Career Growth,14,7.4
ATT00301,EMP01146,2024-09-22,Career Growth,7,5.9
ATT00302,EMP01153,2024-12-27,Higher Education,4,2.9
ATT00303,EMP01154,2024-12-07,Manager Issues,8,3.5
ATT00304,EMP01158,2024-12-27,Better Salary,30,4.2
ATT00305,EMP01159,2024-08-03,Career Growth,24,6
ATT00306,EMP01160,2024-01-16,Career Growth,23,7.9
ATT00307,EMP01162,2024-05-22,Better Salary,8,2.6
ATT00308,EMP01163,2023-08-09,Manager Issues,17,6.9
ATT00309,EMP01166,2024-02-06,Personal Reasons,22,4
ATT00310,EMP01180,2024-10-14,Career Growth,27,3.1
ATT00311,EMP01183,2024-12-11,Health Reasons,12,2.3
ATT00312,EMP01185,2024-11-02,Career Growth,6,2.9
ATT00313,EMP01190,2023-12-26,Career Growth,18,6.6
ATT00314,EMP01200,2024-12-14,Better Salary,7,5.3
ATT00315,EMP01201,2023-05-26,Relocation,7,7.8
ATT00316,EMP01202,2024-11-21,Work-Life Balance,6,8
ATT00317,EMP01207,2023-01-31,Relocation,6,5.3
ATT00318,EMP01215,2024-09-18,Better Salary,7,7.6
ATT00319,EMP01217,2024-12-04,Relocation,20,3.8
ATT00320,EMP01219,2024-11-06,Better Salary,17,6.8
ATT00321,EMP01221,2024-03-01,Higher Education,25,5.3
ATT00322,EMP01229,2024-07-17,Manager Issues,25,6.8
ATT00323,EMP01232,2024-02-22,Better Salary,17,6.6
ATT00324,EMP01239,2024-12-18,Health Reasons,3,8.1
ATT00325,EMP01243,2024-11-07,Personal Reasons,6,7.1
ATT00326,EMP01245,2023-10-19,Better Salary,12,6.4
ATT00327,EMP01248,2024-04-01,Better Salary,11,4.1
ATT00328,EMP01249,2024-12-19,Personal Reasons,4,7.9
ATT00329,EMP01251,2022-04-29,Personal Reasons,3,6.8
ATT00330,EMP01254,2023-05-31,Relocation,12,4.5
ATT00331,EMP01258,2023-12-17,Career Growth,21,7.8
ATT00332,EMP01261,2024-11-13,Better Salary,9,3
ATT00333,EMP01267,2024-11-29,Health Reasons,11,5.6
ATT00334,EMP01268,2023-11-03,Health Reasons,5,4.1
ATT00335,EMP01273,2024-12-19,Better Salary,5,5.7
ATT00336,EMP01276,2023-02-14,Better Salary,3,5
ATT00337,EMP01278,2022-07-02,Work-Life Balance,4,8.1
ATT00338,EMP01279,2024-10-26,Relocation,7,7.6
ATT00339,EMP01292,2023-10-28,Relocation,15,4.5
ATT00340,EMP01295,2024-05-15,Work-Life Balance,11,8.2
ATT00341,EMP01299,2024-01-01,Career Growth,17,6.2
ATT00342,EMP01302,2024-12-23,Health Reasons,27,5
ATT00343,EMP01303,2023-10-19,Relocation,5,7.2
ATT00344,EMP01307,2024-07-28,Manager Issues,6,8.1
ATT00345,EMP01308,2022-10-14,Work-Life Balance,7,7.9
ATT00346,EMP01309,2024-10-31,Relocation,17,6.7
ATT00347,EMP01320,2024-06-28,Work-Life Balance,16,5.6
ATT00348,EMP01321,2024-10-05,Work-Life Balance,5,3.3
ATT00349,EMP01323,2024-07-17,Health Reasons,5,7.1
ATT00350,EMP01327,2024-10-28,Work-Life Balance,3,8.4
ATT00351,EMP01333,2024-07-17,Relocation,12,4.2
ATT00352,EMP01334,2024-05-06,Work-Life Balance,12,6.1
ATT00353,EMP01337,2024-09-07,Better Salary,6,3.5
ATT00354,EMP01347,2024-09-01,Higher Education,13,4.9
ATT00355,EMP01350,2024-05-01,Better Salary,17,5.2
ATT00356,EMP01351,2024-12-31,Health Reasons,4,5.8
ATT00357,EMP01353,2024-06-17,Work-Life Balance,6,3.4
ATT00358,EMP01358,2024-03-18,Health Reasons,8,3.8
ATT00359,EMP01359,2024-10-26,Relocation,3,4.8
ATT00360,EMP01363,2024-08-15,Relocation,8,3.1
ATT00361,EMP01367,2024-11-26,Better Salary,21,7.2
ATT00362,EMP01376,2022-04-16,Better Salary,3,4.8
ATT00363,EMP01378,2023-10-13,Career Growth,9,7.9
ATT00364,EMP01379,2023-04-08,Manager Issues,14,2.1
ATT00365,EMP01383,2023-03-21,Career Growth,12,5
ATT00366,EMP01387,2024-12-19,Career Growth,3,7.4
ATT00367,EMP01388,2024-09-06,Manager Issues,10,4.5
ATT00368,EMP01394,2023-03-24,Better Salary,4,4.1
ATT00369,EMP01399,2024-04-07,Higher Education,7,6.6
ATT00370,EMP01400,2024-05-15,Career Growth,9,3.2
ATT00371,EMP01413,2024-12-20,Relocation,3,7.5
ATT00372,EMP01422,2024-07-29,Better Salary,8,2.4
ATT00373,EMP01423,2022-11-17,Work-Life Balance,7,8.5
ATT00374,EMP01426,2024-11-17,Personal Reasons,32,2.8
ATT00375,EMP01431,2024-09-12,Work-Life Balance,30,8.5
ATT00376,EMP01435,2024-06-01,Career Growth,5,6.7
ATT00377,EMP01438,2024-06-22,Work-Life Balance,4,3.2
ATT00378,EMP01442,2024-10-09,Manager Issues,6,7.6
ATT00379,EMP01443,2024-02-29,Health Reasons,10,3
ATT00380,EMP01446,2023-04-02,Work-Life Balance,14,5.6
ATT00381,EMP01452,2024-07-02,Career Growth,5,6.8
ATT00382,EMP01454,2024-05-29,Relocation,3,4.4
ATT00383,EMP01461,2023-07-27,Career Growth,11,2.1
ATT00384,EMP01463,2023-04-04,Personal Reasons,12,2.1
ATT00385,EMP01467,2024-11-21,Work-Life Balance,32,3
ATT00386,EMP01473,2024-11-05,Health Reasons,7,7.7
ATT00387,EMP01477,2024-09-09,Higher Education,10,7.4
ATT00388,EMP01479,2024-12-16,Better Salary,10,3
ATT00389,EMP01487,2024-09-08,Better Salary,25,3
ATT00390,EMP01489,2023-08-27,Career Growth,6,7.2
ATT00391,EMP01491,2024-12-11,Relocation,8,7.9
ATT00392,EMP01500,2023-11-26,Career Growth,19,7.2
ATT00393,EMP01506,2023-12-03,Better Salary,13,8.1
ATT00394,EMP01516,2024-12-08,Health Reasons,3,4.4
ATT00395,EMP01518,2024-04-19,Better Salary,23,5.9
ATT00396,EMP01519,2024-02-11,Higher Education,4,2.7
ATT00397,EMP01520,2024-12-08,Higher Education,8,8
ATT00398,EMP01521,2024-04-25,Relocation,22,4.3
ATT00399,EMP01528,2024-12-24,Better Salary,12,5.1
ATT00400,EMP01537,2023-12-27,Work-Life Balance,8,5.2
ATT00401,EMP01545,2024-08-03,Relocation,12,3.1
ATT00402,EMP01546,2023-11-09,Better Salary,20,7.2
ATT00403,EMP01553,2024-12-21,Relocation,4,5.1
ATT00404,EMP01554,2024-07-02,Work-Life Balance,4,7.9
ATT00405,EMP01556,2022-12-05,Higher Education,8,4.3
ATT00406,EMP01557,2024-11-30,Manager Issues,23,3.7
ATT00407,EMP01559,2024-02-23,Career Growth,19,7.1
ATT00408,EMP01560,2024-07-27,Better Salary,14,3.4
ATT00409,EMP01561,2024-12-18,Higher Education,29,3.6
ATT00410,EMP01564,2023-07-31,Health Reasons,6,2.8
ATT00411,EMP01566,2024-12-24,Work-Life Balance,5,2.2
ATT00412,EMP01580,2024-11-13,Personal Reasons,13,3.6
ATT00413,EMP01583,2024-11-03,Relocation,4,2.6
ATT00414,EMP01590,2023-02-04,Relocation,8,5.3
ATT00415,EMP01591,2024-12-24,Better Salary,6,3.7
ATT00416,EMP01593,2024-06-26,Health Reasons,9,2.5
ATT00417,EMP01594,2023-04-22,Work-Life Balance,7,2.8
ATT00418,EMP01595,2023-10-08,Career Growth,7,3.5
ATT00419,EMP01596,2024-09-22,Personal Reasons,21,2.2
ATT00420,EMP01597,2024-12-24,Relocation,3,8.2
ATT00421,EMP01600,2024-07-27,Career Growth,6,4.9
ATT00422,EMP01604,2024-04-12,Career Growth,23,7.2
ATT00423,EMP01605,2023-04-18,Personal Reasons,12,7.4
ATT00424,EMP01612,2024-10-20,Relocation,4,6.2
ATT00425,EMP01615,2024-11-13,Relocation,24,3.1
ATT00426,EMP01616,2024-06-03,Higher Education,11,4.6
ATT00427,EMP01618,2024-09-15,Health Reasons,5,2.8
ATT00428,EMP01620,2024-12-07,Manager Issues,6,5.8
ATT00429,EMP01621,2024-09-26,Health Reasons,3,7.3
ATT00430,EMP01633,2023-07-22,Work-Life Balance,6,7.5
ATT00431,EMP01634,2023-06-18,Manager Issues,13,3.6
ATT00432,EMP01638,2024-02-11,Work-Life Balance,19,2.1
ATT00433,EMP01641,2024-12-07,Personal Reasons,6,2
ATT00434,EMP01643,2024-09-13,Career Growth,21,2.8
ATT00435,EMP01651,2023-06-21,Career Growth,10,7.8
ATT00436,EMP01652,2024-02-21,Work-Life Balance,8,8.3
ATT00437,EMP01667,2024-05-25,Better Salary,9,7
ATT00438,EMP01672,2024-08-14,Relocation,13,7.8
ATT00439,EMP01674,2024-07-06,Better Salary,26,2.3
ATT00440,EMP01675,2024-02-25,Work-Life Balance,15,2.8
ATT00441,EMP01679,2024-06-12,Work-Life Balance,6,5.8
